version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_ALUW,WM,Meuro,-7171.9033631938,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,AT,Meuro,-94465.1631153452,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,AU,Meuro,-436126.4244758825,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,BE,Meuro,-159412.6379828904,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,BG,Meuro,-233564.7173538069,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,BR,Meuro,-282666.9043861705,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,CA,Meuro,-340452.2028017785,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,CH,Meuro,-174189.1034209344,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,CN,Meuro,-455320.5133631051,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,CY,Meuro,-210592.3757597262,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,CZ,Meuro,-179916.659925425,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,DE,Meuro,-113415.5748960451,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,DK,Meuro,-152924.6761886219,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,EE,Meuro,-71708.1616724235,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,ES,Meuro,-66776.1326563793,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,FI,Meuro,-273808.2505661821,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,FR,Meuro,-182837.8419934642,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,GB,Meuro,-97191.0435393742,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,GR,Meuro,-225256.0401968111,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,HR,Meuro,-249203.5551089558,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,HU,Meuro,-269420.9096154915,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,ID,Meuro,-309991.9148804782,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,IE,Meuro,-125883.7298417156,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,IT,Meuro,-54475.9956056666,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,JP,Meuro,-447676.8372655937,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,LT,Meuro,-342477.974941431,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,LV,Meuro,-345376.3787734716,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,MT,Meuro,-39780.323148757,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,MX,Meuro,-339370.3987060668,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,NL,Meuro,-262858.7074173143,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,NO,Meuro,-66661.3334670156,tonnes CO2eq,GWP100
